Time (s),Frame Time (ms),Triangle Count
0.0083977,16.0331,3.24066E+07
0.0244308,142.1621,4.539796E+07
0.1665929,12.4982,4.485873E+07
0.1790911,7.1495,4.48097E+07
0.1862406,1.9559,4.48097E+07
0.1881965,1.8667,4.48097E+07
0.1900632,4.9621,4.485873E+07
0.1950253,9.770801,4.485873E+07
0.2047961,9.776299,4.485873E+07
0.2145724,9.9267,4.485873E+07
0.2244991,10.1048,4.485873E+07
0.2346039,9.632299,4.48097E+07
0.2442362,9.5288,4.485873E+07
0.253765,9.7127,4.490775E+07
0.2634777,9.6188,4.490775E+07
0.2730965,9.6411,4.490775E+07
0.2827376,9.621,4.495678E+07
0.2923586,9.6712,4.490775E+07
0.3020298,9.725101,4.485873E+07
0.3117549,9.825,4.485873E+07
0.3215799,19.3122,4.485873E+07
0.3408921,10.1719,4.490775E+07
0.351064,9.2614,4.446654E+07
0.3603254,2.1199,4.446654E+07
0.3624453,7.8793,4.446654E+07
0.3703246,9.6445,4.446654E+07
0.3799691,9.6512,4.446654E+07
0.3896203,9.6188,4.441752E+07
0.3992391,9.5363,4.441752E+07
0.4087754,10.1252,4.441752E+07
0.4189005,9.525399,4.436849E+07
0.4284259,9.6235,4.441752E+07
0.4380494,9.6669,4.441752E+07
0.4477163,9.8677,4.441752E+07
0.457584,12.3315,4.441752E+07
0.4699155,17.1051,4.431947E+07
0.4870206,18.1021,4.431947E+07
0.5051227,11.703,4.441752E+07
0.5168257,2.4255,4.441752E+07
0.5192512,5.6646,4.431947E+07
0.5249158,2.0264,4.431947E+07
0.5269422,7.6066,4.431947E+07
0.5345488,9.7627,4.431947E+07
0.5443115,9.8612,4.441752E+07
0.5541727,9.755799,4.446654E+07
0.5639285,9.379601,4.436849E+07
0.5733081,9.684,4.436849E+07
0.5829921,9.5673,4.446654E+07
0.5925595,9.6728,4.446654E+07
0.6022323,9.491501,4.446654E+07
0.6117238,9.536099,4.446654E+07
0.6212599,10.9811,4.461361E+07
0.632241,8.4613,4.461361E+07
0.6407022,19.075,4.456459E+07
0.6597772,9.843699,4.456459E+07
0.6696209,9.600801,4.441752E+07
0.6792217,2.2913,4.441752E+07
0.6815131,7.7115,4.436849E+07
0.6892246,9.6704,4.436849E+07
0.698895,10.015,4.436849E+07
0.70891,9.618899,4.436849E+07
0.7185289,9.456,4.451556E+07
0.7279848,9.762,4.456459E+07
0.7377468,9.519799,4.456459E+07
0.7472667,9.5833,4.461361E+07
0.7568499,9.583099,4.466264E+07
0.7664331,9.5671,4.466264E+07
0.7760001,12.8503,4.461361E+07
0.7888504,6.9911,4.461361E+07
0.7958415,18.8719,4.471166E+07
0.8147134,9.559099,4.466264E+07
0.8242725,9.4802,4.476068E+07
0.8337527,2.1159,4.476068E+07
