Time (s),Frame Time (ms),Triangle Count
0.0155423,29.3898,7.137568E+07
0.0449321,216.8051,9.09127E+07
0.2617372,18.1124,9.012734E+07
0.2798496,17.7559,8.993098E+07
0.2976055,2.0287,8.983281E+07
0.2996342,1.7875,8.983281E+07
0.3014217,14.7856,8.983281E+07
0.3162073,17.7925,8.983281E+07
0.3339998,18.1551,8.993098E+07
0.3521549,18.0181,8.963646E+07
0.370173,18.0703,8.963646E+07
0.3882433,17.4775,8.90474E+07
0.4057208,18.1045,8.894922E+07
0.4238253,54.6729,8.894922E+07
0.4784982,20.092,8.875287E+07
0.4985902,2.2352,8.875287E+07
0.5008254,14.1172,8.894922E+07
0.5149426,2.0502,8.894922E+07
0.5169928,15.3717,8.875287E+07
0.5323645,17.7746,8.875287E+07
0.5501391,17.8855,8.894922E+07
0.5680246,17.6587,8.90474E+07
0.5856833,35.1458,8.885105E+07
0.6208291,17.862,8.90474E+07
0.6386911,17.4734,8.924375E+07
0.6561645,2.4709,8.924375E+07
0.6586354,27.2152,8.894922E+07
0.6858506,5.9204,8.894922E+07
0.691771,18.7658,8.885105E+07
0.7105368,17.6369,8.885105E+07
0.7281737,17.5397,8.914558E+07
0.7457134,35.8099,8.924375E+07
0.7815233,17.751,8.94401E+07
0.7992743,17.4781,8.94401E+07
0.8167524,2.4351,8.94401E+07
0.8191875,15.9126,8.963646E+07
0.8351001,17.7541,8.963646E+07
0.8528541,17.7931,8.973463E+07
0.8706473,19.8817,8.953828E+07
0.890529,18.0225,8.924375E+07
0.9085515,76.7648,8.885105E+07
0.9853163,2.5446,8.875287E+07
0.9878609,2.0506,8.875287E+07
0.9899114,1.9891,8.875287E+07
0.9919006,16.6957,8.875287E+07
1.008596,14.674,8.875287E+07
1.02327,17.7929,8.885105E+07
1.041063,21.5414,8.90474E+07
1.062605,31.3367,8.924375E+07
1.093941,19.1684,8.94401E+07
1.11311,19.395,8.914558E+07
1.132505,9.183,8.914558E+07
1.141688,5.8532,8.934193E+07
1.147541,20.0913,8.94401E+07
1.167632,24.228,8.94401E+07
1.19186,8.7969,8.914558E+07
1.200657,19.2644,8.914558E+07
1.219921,33.6438,8.90474E+07
1.253565,19.5067,8.934193E+07
1.273072,23.5023,8.855652E+07
1.296574,2.1531,8.855652E+07
1.298727,8.8244,8.875287E+07
1.307552,18.9202,8.875287E+07
1.326472,20.2215,8.885105E+07
1.346693,14.0726,8.875287E+07
1.360766,27.8081,8.875287E+07
1.388574,25.0631,8.855652E+07
1.413637,18.3281,8.86547E+07
1.431965,19.4785,8.855652E+07
1.451444,2.4026,8.855652E+07
1.453846,40.1661,8.855652E+07
1.494013,2.4193,8.855652E+07
1.496432,6.3454,8.885105E+07
1.502777,17.6556,8.885105E+07
1.520433,18.8815,8.885106E+07
1.539315,45.9962,8.885106E+07
1.585311,16.001,8.885106E+07
1.601312,7.5196,8.816382E+07
1.608831,2.3875,8.816382E+07
1.611219,15.4048,8.8262E+07
1.626624,39.6631,8.796747E+07
1.666287,2.5091,8.796747E+07
1.668796,22.1345,8.78693E+07
1.69093,24.9662,8.767294E+07
1.715897,40.561,8.737841E+07
1.756458,3.0966,8.786929E+07
1.759554,2.5278,8.786929E+07
1.762082,5.7042,8.786929E+07
1.767786,17.7317,8.767294E+07
1.785518,23.5534,8.777111E+07
1.809071,21.972,8.767294E+07
1.831043,21.4564,8.777111E+07
1.8525,24.3415,8.786929E+07
1.876841,24.2413,8.786929E+07
1.901082,7.8558,8.786929E+07
1.908938,2.4158,8.786929E+07
1.911354,22.8787,8.786929E+07
1.934233,14.0611,8.796746E+07
1.948294,24.1723,8.796746E+07
1.972466,6.9676,8.728023E+07
1.979434,18.8487,8.737841E+07
1.998282,23.8195,8.678935E+07
2.022102,30.9732,8.669118E+07
2.053075,17.9239,8.649482E+07
2.070999,13.4363,8.649482E+07
2.084435,5.8002,8.649482E+07
2.090235,11.2368,8.629847E+07
2.101472,40.9497,8.639665E+07
2.142422,2.7437,8.639665E+07
2.145165,8.914499,8.629847E+07
2.15408,19.7509,8.629847E+07
2.173831,32.8813,8.629847E+07
2.206712,41.4695,8.62003E+07
2.248182,2.7898,8.639665E+07
2.250971,2.0721,8.639665E+07
2.253043,4.2371,8.639665E+07
2.257281,21.6131,8.639665E+07
2.278894,14.0955,8.629847E+07
2.292989,17.599,8.62003E+07
