Time (s),Frame Time (ms),Triangle Count
0.0022158,3.3724,1728
0.0055882,1.9781,1728
0.0075663,3.6377,120184
0.011204,1.3543,120184
0.0125583,1.0648,120184
0.0136231,1.0754,120184
0.0146985,1.0544,120184
0.0157529,1.0768,120184
0.0168297,1.1053,120184
0.017935,1.0831,120184
0.0190181,1.1584,120184
0.0201765,1.5431,120184
0.0217196,1.2174,120184
0.022937,1.1508,120184
0.0240878,1.0996,120184
0.0251874,1.1537,120184
0.0263411,1.1882,120184
0.0275293,1.2159,120184
0.0287452,1.2997,120184
0.0300449,1.1808,120184
0.0312257,1.4362,120184
0.0326619,1.1307,120184
0.0337926,1.1019,120184
0.0348945,1.1119,120184
0.0360064,1.0755,120184
0.0370819,1.0698,120184
0.0381517,1.0833,120184
0.039235,1.0613,120184
0.0402963,1.105,120184
0.0414013,1.159,120184
0.0425603,1.2305,120184
0.0437908,1.1878,120184
0.0449786,1.8111,120184
0.0467897,2.9042,120184
0.0496939,1.6662,120184
0.0513601,1.5482,120184
0.0529083,1.2135,120184
0.0541218,1.1681,120184
0.05528989,1.0555,120184
0.0563454,1.0762,120184
0.05742159,1.0591,120184
0.05848069,1.1189,120184
0.05959959,1.1106,120184
0.06071019,1.2147,120184
0.06192489,1.3481,120184
0.06327299,1.1904,120184
0.06446339,1.2093,120184
0.0656727,1.1793,120184
0.066852,1.1603,120184
0.0680123,1.1354,120184
0.0691477,1.3708,120184
0.0705185,1.2449,120184
0.0717634,1.1325,120184
0.07289591,1.5306,120184
0.07442651,1.1762,120184
0.07560271,1.1269,120184
0.07672961,1.0588,120184
0.07778841,1.0563,120184
0.07884471,1.0439,120184
0.07988861,1.1135,120184
0.08100211,1.1138,120184
0.08211591,1.0507,120184
0.08316661,1.1602,120184
0.08432681,1.1223,120184
0.08544911,1.1651,120184
0.08661421,1.1894,120184
0.08780362,1.1948,120184
0.08899841,1.3286,120184
0.09032702,1.541,120184
0.09186802,1.33,120184
0.09319802,1.2326,120184
0.09443063,1.144,120184
0.09557462,1.1866,120184
0.09676123,7.9839,120184
0.1047451,1.1842,120184
0.1059293,1.2049,120184
0.1071342,1.1696,120184
0.1083038,1.2241,120184
0.1095279,1.3775,120184
0.1109054,1.3535,120184
0.1122589,1.3951,120184
0.113654,1.1606,120184
0.1148146,1.1238,120184
0.1159384,1.1099,120184
0.1170483,1.1017,120184
0.11815,1.1376,120184
0.1192876,1.0701,120184
0.1203577,1.0854,120184
0.1214431,1.1946,120184
0.1226377,1.0862,120184
0.1237239,1.0941,120184
0.124818,1.1677,120184
0.1259857,1.1635,120184
0.1271492,1.1905,120184
0.1283397,1.1896,120184
0.1295293,1.3258,120184
0.1308551,1.2285,120184
0.1320836,1.3963,120184
0.1334799,1.39,120184
0.1348699,1.2521,120184
0.136122,1.1987,120184
0.1373207,1.4351,120184
0.1387558,1.1206,120184
0.1398764,1.1028,120184
0.1409792,1.0525,120184
0.1420317,1.1024,120184
0.1431341,1.5186,120184
0.1446527,1.2647,120184
0.1459174,1.2,120184
0.1471175,1.0909,120184
0.1482083,1.0922,120184
0.1493005,1.3228,120184
0.1506234,1.4633,120184
0.1520866,1.23,120184
0.1533166,1.2687,120184
0.1545853,1.1665,120184
0.1557518,1.1167,120184
0.1568685,1.1419,120184
0.1580104,1.1447,120184
0.1591551,1.171,120184
0.1603261,1.1719,120184
0.161498,1.062,120184
0.16256,1.1065,120184
0.1636665,1.0521,120184
0.1647186,1.0431,120184
0.1657617,1.0533,122062
0.166815,1.1479,122062
0.1679629,1.1402,122062
0.1691031,1.3865,122062
0.1704896,1.1693,122062
0.1716589,1.163,122062
0.1728219,1.3559,122062
0.1741778,1.1993,122062
0.1753771,1.2751,122062
0.1766523,1.2299,122062
0.1778821,1.2053,122062
0.1790874,1.1834,122062
0.1802709,1.3585,122062
0.1816293,1.1394,122062
0.1827687,1.3364,122062
0.1841051,1.0629,122062
0.185168,1.0524,122062
0.1862204,1.2496,122062
0.18747,1.0851,122062
0.1885551,1.1089,122062
0.189664,1.2223,122062
0.1908863,1.12,122062
0.1920063,1.0954,122062
0.1931017,1.1222,122062
0.1942239,1.1292,122062
0.1953531,1.1857,122062
0.1965388,1.1572,122062
0.197696,1.1928,122062
0.1988888,1.1998,122062
0.2000886,1.4569,122060
0.2015455,1.1826,122060
0.2027281,1.2245,122060
0.2039526,1.2054,122060
0.205158,1.1012,122060
0.2062592,1.1072,122060
0.2073664,1.1432,122060
0.2085096,1.2188,122060
0.2097284,4.5701,122060
0.2142985,4.7173,122060
0.2190158,1.2274,122060
0.2202432,1.3293,122060
0.2215725,1.5176,122060
0.2230901,1.329,122060
0.2244191,1.2343,122060
0.2256534,1.1818,122060
0.2268352,1.1224,122060
0.2279576,1.1034,122060
0.229061,1.2932,122060
0.2303542,1.135,122060
0.2314892,1.0545,122060
0.2325437,1.0539,122060
0.2335976,1.0747,122060
0.2346723,1.3239,122060
0.2359962,1.1161,122060
0.2371123,1.0545,122060
0.2381668,1.0453,122060
0.2392121,1.0473,122060
0.2402594,1.0466,122060
0.241306,1.0435,122060
0.2423495,1.0582,122060
0.2434077,1.0652,122060
0.2444729,1.1044,122060
0.2455773,1.0506,122060
0.2466279,1.3265,122060
0.2479544,7.9766,122060
0.255931,1.4555,122060
0.2573865,1.1657,122060
0.2585522,1.1638,122060
0.259716,1.1363,122060
0.2608523,1.1366,122060
0.2619889,1.18,122060
0.2631689,1.1786,122060
0.2643475,1.1878,122060
0.2655353,1.1863,122060
0.2667216,1.1234,122060
0.267845,1.1283,122060
0.2689733,1.2729,122060
0.2702461,1.0829,122060
0.271329,1.0815,122060
0.2724105,1.0568,122060
0.2734673,1.0783,122060
0.2745456,1.123,122060
0.2756687,1.0807,122060
0.2767493,1.0647,122060
0.277814,1.1418,122060
0.2789558,1.1886,122060
0.2801444,1.1252,122060
0.2812696,1.2842,122060
0.2825538,1.1919,122060
0.2837457,1.2138,122060
0.2849595,1.2058,122060
0.2861653,1.4405,122060
0.2876058,1.2142,122060
0.28882,1.4774,122060
0.2902974,1.1083,122060
0.2914057,1.1804,122060
0.2925861,1.0939,122060
0.29368,1.0562,122060
0.2947362,1.0694,122060
0.2958056,1.1183,122060
0.2969239,1.1698,122060
0.2980937,1.0703,122060
0.299164,1.1222,122060
0.3002862,1.134,122060
0.3014202,1.1809,122060
0.3026011,1.3445,122060
0.3039456,1.1801,122060
0.3051257,1.1416,122060
0.3062673,1.1417,122060
0.307409,1.1608,122060
0.3085698,1.1382,122060
0.309708,1.2914,122060
0.3109994,1.1205,122060
0.3121199,1.2394,122060
0.3133593,1.1791,122060
0.3145384,1.0858,122060
0.3156242,1.0589,122060
0.3166831,1.0839,122060
0.317767,1.1589,122060
0.3189259,1.1435,122060
0.3200694,1.2378,122060
0.3213072,1.1229,122060
0.3224301,1.0989,122060
0.323529,1.1585,122060
0.3246875,1.1775,122060
0.325865,1.1738,122060
0.3270388,1.1816,122060
0.3282204,1.2574,122060
0.3294778,1.2868,122060
0.3307646,1.3272,122060
0.3320918,1.5579,122060
0.3336497,1.4154,122060
0.3350651,1.2309,122060
0.336296,1.1785,122060
0.3374745,1.0927,122060
0.3385672,1.0914,122060
0.3396586,1.0676,122060
0.3407262,1.1186,122060
0.3418448,1.2922,122060
0.343137,1.1231,122060
0.3442601,1.1042,122060
0.3453643,1.1314,122060
0.3464957,1.261,122060
0.3477567,1.4056,122060
0.3491623,1.5722,122060
0.3507344,1.2299,122060
0.3519644,1.1932,122060
0.3531576,1.1568,122060
0.3543144,1.1905,122060
0.3555049,1.1633,122060
0.3566682,1.1024,122060
0.3577706,1.0751,122060
0.3588457,1.21,122060
0.3600557,1.1434,122060
0.3611991,1.0634,122060
0.3622625,1.0523,122060
0.3633147,1.0632,122060
0.3643779,1.0815,122060
0.3654594,1.0774,122060
0.3665369,1.0539,122060
0.3675908,1.193,122060
0.3687837,1.5182,122060
0.3703019,1.2374,122060
0.3715393,1.4644,122060
0.3730037,1.2637,122060
0.3742674,1.206,122060
0.3754734,1.1872,122060
0.3766606,1.142,122060
0.3778026,1.1208,122060
0.3789234,1.1292,122060
0.3800527,1.1345,122060
0.3811872,1.1062,122060
0.3822934,1.1111,122060
0.3834045,1.2706,122060
0.3846751,1.0721,122060
0.3857472,1.0636,122060
0.3868107,1.0507,122060
0.3878615,1.0711,122060
0.3889326,1.3419,122060
0.3902745,1.1599,122060
0.3914344,1.1063,122060
0.3925407,1.1246,122060
0.3936653,1.1131,122060
0.3947783,1.156,122060
0.3959343,1.1509,122060
0.3970852,1.1861,122060
0.3982714,9.813601,122060
0.408085,1.3707,122060
0.4094557,1.3379,122060
0.4107935,1.2578,122060
0.4120513,1.0721,122060
0.4131235,1.1725,122060
0.414296,1.1514,122060
0.4154474,1.0902,122060
0.4165376,1.1442,122060
0.4176818,1.4801,122060
0.4191619,1.2896,122060
0.4204515,1.1762,122060
0.4216277,1.1474,122060
0.4227751,1.2248,122060
0.4239999,1.5517,122060
0.4255516,1.2852,122060
0.4268368,1.1866,122060
0.4280234,1.1589,122060
0.4291823,1.3259,122060
0.4305082,1.1141,122060
0.4316223,1.0653,122060
0.4326876,1.0779,122060
0.4337655,1.0633,122060
0.4348288,1.0718,122060
0.4359006,1.058,122060
0.4369586,1.0615,122060
0.4380201,1.1263,122060
0.4391464,1.222,122060
0.4403684,1.1912,122060
0.4415596,1.1508,122060
0.4427104,1.1706,122060
0.443881,1.3113,122060
0.4451923,1.1798,122060
0.4463721,1.2396,122060
0.4476117,1.5196,122060
0.4491313,1.4808,122060
0.4506121,1.5733,122060
0.4521854,1.4362,122060
0.4536216,1.2251,122060
0.4548467,1.1286,122060
0.4559753,1.1148,122060
0.4570901,1.296,122060
0.4583861,1.1731,122060
0.4595592,1.2146,122060
0.4607738,1.1771,122060
0.4619509,1.2807,122060
0.4632316,1.3125,122060
0.4645441,1.2718,122060
0.4658159,1.5031,122060
0.467319,1.3477,122060
0.4686667,1.6374,122060
0.4703041,1.255,122060
0.4715591,1.1139,122060
0.472673,1.1117,122060
0.4737847,1.0754,122060
0.4748601,1.0551,122060
0.4759152,1.0504,122060
0.4769656,1.1421,122060
0.4781077,1.0519,122060
0.4791596,1.1193,122060
0.4802789,1.5352,122060
0.4818141,1.2015,122060
0.4830156,1.1986,122060
0.4842142,1.0921,122060
0.4853063,1.1264,122060
0.4864327,1.2405,122060
0.4876732,1.1478,122060
0.488821,1.3471,122060
0.4901681,1.1374,122060
0.4913055,1.1466,122060
0.4924521,1.0972,122060
0.4935493,1.0497,122060
0.494599,1.0443,122060
0.4956433,1.0603,122060
0.4967036,1.0589,122060
0.4977625,1.0569,122060
0.4988194,1.1146,122060
0.499934,1.18,122060
0.5011141,1.1789,122060
0.502293,1.2162,122060
0.5035092,1.1206,122060
0.5046298,1.1189,122060
0.5057487,1.168,122060
0.5069167,1.1495,122060
0.5080662,1.1743,122060
0.5092404,1.3577,122060
0.5105981,1.13,122060
0.5117281,1.0771,122060
0.5128052,1.0717,122060
0.5138769,1.0768,122060
0.5149537,1.1105,122060
0.5160642,1.1008,122060
0.517165,1.2555,122060
0.5184205,1.0842,122060
0.5195047,1.2828,122060
0.5207875,1.3375,122060
0.5221251,1.18,122060
0.5233051,1.1265,122060
0.5244316,1.1819,122060
0.5256135,1.4798,122060
0.5270933,1.2551,122060
0.5283484,1.254,122060
0.5296024,1.5015,122060
0.5311039,1.2158,122060
0.5323197,1.1149,122060
0.5334346,1.0894,122060
0.534524,1.1076,122060
0.5356316,1.1524,122060
0.536784,1.1865,122060
0.5379705,1.0671,122060
0.5390376,1.054,122060
0.5400916,1.1249,122060
0.5412165,1.1534,122060
0.5423699,1.1808,122060
0.5435507,1.183,122060
0.5447337,1.1669,122060
0.5459006,1.116,122060
0.5470166,1.0898,122060
0.5481064,1.2176,122060
0.549324,8.367399,122060
0.5576914,1.1595,122060
0.5588509,1.0819,122060
0.5599328,1.1354,122060
0.5610682,1.1228,122060
0.5621909,1.1246,122060
0.5633156,1.2329,122060
0.5645485,1.1569,122060
0.5657054,1.1093,122060
0.5668147,1.4033,122060
0.568218,1.2499,122060
0.5694679,1.3798,122060
0.5708477,1.2957,122060
0.5721434,1.1156,122060
0.573259,1.2513,122060
0.5745103,1.0932,122060
0.5756035,1.0655,122060
0.576669,1.0575,122060
0.5777265,1.0675,122060
0.578794,1.0812,122060
0.5798752,1.0981,122060
0.5809733,1.0663,122060
0.5820397,1.0525,122060
0.5830922,1.1774,122060
0.5842695,1.068,122060
0.5853375,1.0509,122060
0.5863884,1.0487,122060
0.5874371,1.0476,122060
0.5884847,1.0588,122060
0.5895435,1.2151,122060
0.5907586,1.0604,122060
0.591819,1.0839,122060
0.592903,1.0578,122060
0.5939608,1.0657,122060
0.5950264,1.0534,122060
0.5960798,1.0667,122060
0.5971465,1.1064,122060
0.5982529,1.1197,122060
0.5993726,1.1751,122060
