Time (s),Frame Time (ms),Triangle Count
0.0327621,152.4672,1.958431E+07
0.1852293,122.5787,1.958431E+07
0.307808,43.108,7.336573E+07
0.350916,24.8033,7.335082E+07
0.3757193,61.1754,7.337565E+07
0.4368947,27.2336,7.359771E+07
0.4641283,13.57,7.34049E+07
0.4776984,37.6303,7.345923E+07
0.5153286,38.8058,7.379736E+07
0.5541344,16.4949,7.394948E+07
0.5706294,18.7983,7.424404E+07
0.5894276,25.5894,7.426865E+07
0.6150171,9.0268,7.402294E+07
0.6240439,17.5923,7.409031E+07
0.6416362,6.803,7.392123E+07
0.6484392,18.6019,7.362966E+07
0.6670411,16.8317,7.358878E+07
0.6838728,82.5141,7.344193E+07
0.7663869,6.0828,7.290801E+07
0.7724696,75.8652,7.297523E+07
0.8483348,19.0238,7.38509E+07
0.8673586,42.6347,7.377776E+07
0.9099934,20.9396,7.375664E+07
0.9309329,29.949,7.36378E+07
0.9608819,43.9772,7.334806E+07
1.004859,37.9736,7.325987E+07
1.042833,49.037,7.293538E+07
1.09187,12.8958,7.33849E+07
1.104766,999.2615,7.33849E+07
1.438099,45.3469,7.25152E+07
1.483446,11.4988,7.252433E+07
1.494945,8.8829,7.252433E+07
1.503828,22.9702,7.252433E+07
1.526798,7.8731,7.234778E+07
1.534671,12.122,7.22995E+07
1.546793,17.1973,7.230024E+07
1.56399,10.36,7.236646E+07
1.57435,24.1445,7.20195E+07
1.598495,49.2372,7.221818E+07
1.647732,23.1508,7.219515E+07
1.670883,56.1738,7.245471E+07
1.727057,45.3083,7.239647E+07
1.772365,47.0216,7.297531E+07
1.819386,35.8808,7.250472E+07
1.855267,56.0875,7.260773E+07
1.911355,10.6871,7.297754E+07
1.922042,27.611,7.31712E+07
1.949653,44.2368,7.303587E+07
1.99389,22.6006,7.296992E+07
2.01649,23.0051,7.333577E+07
2.039495,15.0984,7.354181E+07
2.054594,15.8837,7.34104E+07
2.070477,19.4946,7.351331E+07
2.089972,12.0275,7.3623E+07
2.101999,23.5805,7.384259E+07
2.12558,12.0943,7.352853E+07
2.137674,37.1949,7.328576E+07
2.174869,7.8761,7.344593E+07
2.182745,128.0679,7.351214E+07
2.310813,20.4885,7.358754E+07
2.331302,81.28181,7.373829E+07
2.412584,8.564899,7.385435E+07
2.421149,26.5839,7.414128E+07
2.447732,11.101,7.398664E+07
2.458833,13.5,7.412186E+07
2.472333,35.4609,7.455812E+07
2.507794,10.3038,7.509443E+07
2.518098,22.3524,7.489916E+07
2.540451,38.1824,7.49868E+07
2.578633,29.55,7.483821E+07
2.608183,59.0718,7.469894E+07
2.667255,38.1743,7.455432E+07
2.705429,123.9534,7.456312E+07
2.829383,71.5747,7.456312E+07
2.900957,79.7789,7.486016E+07
2.980736,93.7916,7.41822E+07
3.074528,41.0435,7.390486E+07
3.115571,272.7753,7.447191E+07
3.388347,26.2439,7.387058E+07
3.414591,15.4181,7.400724E+07
3.430009,26.5481,7.391942E+07
3.456557,78.8891,7.338682E+07
3.535446,14.3274,7.382419E+07
3.549773,41.1931,7.386999E+07
3.590966,69.0989,7.390318E+07
3.660065,10.5474,7.365532E+07
3.670613,97.7057,7.363844E+07
3.768318,70.6941,7.379312E+07
