Time (s),Frame Time (ms),Triangle Count
0.0056621,22.6355,581148
0.0282976,2.2484,570748
0.030546,1.404,570748
0.03195,1.3404,570748
0.0332904,1.3109,570748
0.0346013,5.8124,570748
0.0404137,5.2889,570748
0.0457026,10.3655,574228
0.0560681,11.7628,570748
0.0678309,1.8572,570748
0.0696881,1.4007,570748
0.0710888,1.4376,570748
0.0725264,1.3803,570748
0.0739067,1.4652,570748
0.0753719,1.4888,570748
0.0768607,1.6295,570748
0.0784902,1.3599,570748
0.0798501,1.4449,570748
0.081295,1.7481,570748
0.0830431,1.6652,570748
0.0847083,1.7061,570748
0.0864144,1.6957,570748
0.0881101,1.5464,570748
0.08965649,1.6532,570748
0.0913097,1.7046,570748
0.0930143,1.6055,570748
0.0946198,1.3961,570748
0.0960159,1.4223,570748
0.0974382,1.7175,570748
0.0991557,1.5098,570748
0.1006655,1.5893,570748
0.1022548,4.9843,570748
0.1072391,10.5414,570748
0.1177805,1.6767,567268
0.1194572,1.7641,567268
0.1212213,1.4594,567268
0.1226807,1.4801,567268
0.1241608,1.7766,567268
0.1259374,1.5027,567268
0.1274401,1.4601,567268
0.1289002,1.3828,567268
0.130283,1.357,567268
0.13164,1.4616,567268
0.1331016,1.5123,567268
0.1346139,1.4218,567268
0.1360357,1.393,567268
0.1374287,1.5966,567268
0.1390253,1.5652,567268
0.1405905,1.589,567268
0.1421795,1.3792,567268
0.1435587,1.3435,567268
0.1449022,1.4541,567268
0.1463563,1.3961,567268
0.1477524,1.4554,567268
0.1492078,1.3601,567268
0.1505679,1.3491,567268
0.151917,1.4594,567268
0.1533764,1.4489,567268
0.1548253,1.3853,567268
0.1562106,1.7949,567268
0.1580055,1.567,567268
0.1595725,1.4121,567268
0.1609846,8.5109,567268
0.1694955,6.5378,567268
0.1760333,6.1822,567268
0.1822155,11.5773,567268
0.1937928,1.523,567268
0.1953158,1.4066,567268
0.1967224,1.5371,567268
0.1982595,1.3513,567268
0.1996108,1.3375,567268
0.2009483,1.3767,567268
0.202325,1.4356,567268
0.2037606,1.3518,567268
0.2051124,1.5281,567268
0.2066405,10.3653,567268
0.2170058,3.2454,562048
0.2202512,1.3036,562048
0.2215548,1.301,562048
0.2228558,1.4261,562048
0.2242819,1.2875,562048
0.2255694,1.2672,562048
0.2268366,4.346,562048
0.2311826,7.8397,562048
0.2390223,1.9847,562048
0.241007,1.3077,562048
0.2423147,1.739,562048
0.2440537,1.3265,562048
0.2453802,1.3521,562048
0.2467323,1.3185,562048
0.2480508,1.4268,562048
0.2494776,1.3784,562048
0.250856,1.3374,562048
0.2521934,1.2998,562048
0.2534932,1.2826,562048
0.2547758,1.2964,562048
0.2560722,1.2963,562048
0.2573685,1.6324,562048
0.2590009,1.5502,562048
0.2605511,1.6553,562048
0.2622064,1.5896,562048
0.263796,1.4973,562048
0.2652933,1.3907,562048
0.266684,1.4591,562048
0.2681431,1.3065,562048
0.2694496,1.3006,562048
0.2707502,1.6592,562048
0.2724094,3.4153,567268
0.2758247,2.6106,567268
0.2784353,2.7144,569008
0.2811497,2.4043,570748
0.283554,2.4137,572488
0.2859677,2.7832,577708
0.2887509,5.7262,582928
0.2944771,9.0669,588148
0.303544,2.5843,593368
0.3061283,2.548,598588
0.3086763,2.3644,596848
0.3110407,2.2933,596848
0.313334,2.3829,596848
0.3157169,2.3119,596848
0.3180288,2.5439,596848
0.3205727,2.3296,596848
0.3229023,2.3409,596848
0.3252432,2.5623,596848
0.3278055,2.4297,596848
0.3302352,2.314,596848
0.3325492,2.4504,596848
0.3349996,2.5003,596848
0.3374999,2.5044,596848
0.3400043,2.5835,593368
0.3425878,2.4949,593368
0.3450827,2.3093,593368
0.347392,2.333,593368
0.349725,2.2886,593368
0.3520136,2.3237,593368
0.3543373,2.5051,593368
0.3568424,11.5837,593368
0.3684261,4.3212,593368
0.3727473,2.5011,593368
0.3752484,2.3764,593368
0.3776248,2.8762,589888
0.380501,2.2665,589888
0.3827675,2.2992,589888
0.3850667,2.3498,589888
0.3874165,2.3071,589888
0.3897235,2.3395,589888
0.3920631,2.288,589888
0.3943511,2.2997,589888
0.3966508,2.9826,589888
