Time (s),Frame Time (ms),Triangle Count
0.0017871,18.3548,599688
0.0201419,8.7973,491008
0.0289392,1.1405,491008
0.0300797,1.0723,491008
0.031152,1.1165,491008
0.0322685,1.046,491008
0.0333145,1.2035,491008
0.034518,1.0456,491008
0.0355636,1.039,491008
0.03660259,1.0488,491008
0.03765139,1.0727,491008
0.03872409,1.0636,491008
0.03978769,1.1618,491008
0.04094949,1.0413,491008
0.04199079,1.1363,491008
0.04312709,1.1167,491008
0.04424379,1.0365,491008
0.04528029,1.0474,491008
0.04632769,1.0549,491008
0.04738259,1.0342,491008
0.04841679,1.0708,491008
0.04948759,1.0412,491008
0.05052879,1.0528,491008
0.0515816,1.0541,491008
0.0526357,1.0417,491008
0.05367739,1.1861,491008
0.05486349,1.2913,491008
0.05615479,1.0618,491008
0.0572166,1.0354,491008
0.058252,1.0383,491008
0.0592903,1.0318,491008
0.0603221,1.0607,491008
0.0613828,1.0739,491008
0.0624567,1.1203,491008
0.063577,1.0436,491008
0.06462061,1.3687,491008
0.06598931,2.2016,491008
0.06819091,1.1172,491008
0.06930811,1.1504,491008
0.07045851,1.0661,491008
0.07152461,1.0956,491008
0.07262021,1.0405,491008
0.07366072,1.1862,491008
0.07484692,1.0318,491008
0.07587872,1.0761,491008
0.07695482,1.1199,491008
0.07807472,1.3772,491008
0.07945192,1.1753,491008
0.08062722,1.0616,491008
0.08168882,1.0583,491008
0.08274712,1.365,491008
0.08411212,1.1285,491008
0.08524062,1.0325,491008
0.08627313,1.0401,491008
0.08731323,1.0499,491008
0.08836313,1.0792,491008
0.08944233,1.0624,491008
0.09050473,1.293,491008
0.09179773,1.0572,491008
0.09285493,1.2379,491008
0.09409283,1.0451,491008
0.09513793,1.0885,491008
0.09622643,1.0444,491008
0.09727083,1.0389,491008
0.09830973,1.032,491008
0.09934174,1.0427,491008
0.1003844,1.0631,491008
0.1014475,1.0948,491008
0.1025423,1.0568,491008
0.1035991,1.0552,491008
0.1046543,1.0694,491008
0.1057237,1.0575,491008
0.1067812,1.2634,491008
0.1080446,1.07,491008
0.1091146,1.0435,491008
0.1101581,1.0864,491008
0.1112445,1.1081,491008
0.1123526,1.1304,491008
0.113483,1.3636,491008
0.1148466,1.1083,491008
0.1159549,1.1414,491008
0.1170963,1.0367,491008
0.118133,1.0732,491008
0.1192062,1.0551,491008
0.1202613,1.0568,491008
0.1213181,1.034,491008
0.1223521,1.0296,491008
0.1233817,1.0359,491008
0.1244176,1.0994,491008
0.125517,1.077,491008
0.126594,1.0739,491008
0.1276679,1.2034,491008
0.1288713,1.0461,491008
0.1299174,1.0292,491008
0.1309466,1.2029,491008
0.1321495,1.048,491008
0.1331975,1.1988,491008
0.1343963,1.0349,491008
0.1354312,1.0476,491008
0.1364788,1.0915,491008
0.1375703,1.0647,491008
0.138635,1.0564,491008
0.1396914,1.2132,491008
0.1409046,1.1637,491008
0.1420683,1.0701,491008
0.1431384,1.0996,491008
0.144238,1.0313,491008
0.1452693,1.0352,491008
0.1463045,1.0597,491008
0.1473642,1.0405,491008
0.1484047,1.0718,491008
0.1494765,1.0492,491008
0.1505257,1.0699,491008
0.1515956,1.1532,491008
0.1527488,1.0871,491008
0.1538359,1.2216,491008
0.1550575,1.5179,491008
0.1565754,1.0825,491008
0.1576579,1.0292,491008
0.1586871,1.0248,491008
0.1597119,1.0286,491008
0.1607405,1.0346,491008
0.1617751,1.1233,491008
0.1628984,1.0989,491008
0.1639973,1.0777,491008
0.165075,1.0637,491008
0.1661387,1.0342,491008
0.1671729,1.1155,491008
0.1682884,1.1374,491008
0.1694258,1.1148,491008
0.1705406,7.8863,491008
0.1784269,1.2934,491008
0.1797203,1.1432,491008
0.1808635,1.0704,491008
0.1819339,1.0477,491008
0.1829816,1.0779,491008
0.1840595,1.0343,491008
0.1850938,1.0365,491008
0.1861303,1.0725,491008
0.1872028,1.0838,491008
0.1882866,1.208,491008
0.1894946,1.0344,491008
0.190529,1.0547,491008
0.1915837,1.2697,491008
0.1928534,1.2594,491008
0.1941128,1.056,491008
0.1951688,1.1269,491008
0.1962957,1.0521,491008
0.1973478,1.0745,491008
0.1984223,1.0493,491008
0.1994716,1.025,491008
0.2004966,1.0322,491008
0.2015288,1.1085,491008
0.2026373,1.0665,491008
0.2037038,1.1593,491008
0.2048631,1.1474,491008
0.2060105,1.0529,491008
0.2070634,1.0335,491008
0.2080969,1.1175,491008
0.2092144,1.1138,491008
0.2103282,1.0548,491008
0.211383,1.0437,491008
0.2124267,1.0445,491008
0.2134712,1.3873,491008
0.2148585,1.0653,491008
0.2159238,1.1433,491008
0.2170671,1.1149,491008
0.218182,1.0401,491008
0.2192221,1.0706,491008
0.2202927,1.0758,491008
0.2213686,1.0316,491008
0.2224002,1.0378,491008
0.223438,1.0272,491008
0.2244652,1.0653,491008
0.2255305,1.2761,491008
0.2268066,1.0703,491008
0.2278769,1.0722,491008
0.2289491,1.0664,491008
0.2300155,1.0503,491008
0.2310658,1.0825,491008
0.2321483,1.0615,491008
0.2332098,1.1993,491008
0.2344091,1.0302,491008
0.2354393,1.036,491008
0.2364753,1.0648,491008
0.2375401,1.0322,491008
0.2385723,1.0464,491008
0.2396187,1.027,491008
0.2406457,1.0243,491008
0.24167,1.0422,491008
0.2427122,1.1976,491008
0.2439098,1.0827,491008
0.2449925,1.0299,491008
0.2460224,1.032,491008
0.2470544,1.032,491008
0.2480864,1.0759,491008
0.2491623,1.0576,491008
0.2502199,1.0548,491008
0.2512747,1.1945,491008
0.2524692,1.068,491008
0.2535372,1.2141,491008
0.2547513,1.3362,491008
0.2560875,1.0535,491008
0.257141,1.0308,491008
0.2581718,1.0332,491008
0.259205,1.0238,491008
0.2602288,1.0466,491008
0.2612754,1.057,491008
0.2623324,1.0694,491008
0.2634017,1.1289,491008
0.2645307,1.068,491008
0.2655987,1.1326,491008
0.2667313,1.0371,491008
0.2677684,1.1694,491008
0.2689378,1.1107,491008
0.2700485,1.0343,491008
0.2710828,1.0621,491008
0.2721449,1.0613,491008
0.2732061,1.2458,491008
0.2744519,1.1069,491008
0.2755588,1.0396,491008
0.2765984,1.0329,491008
0.2776313,1.051,491008
0.2786823,1.1111,491008
0.2797934,1.0365,491008
0.2808299,1.026,491008
0.2818559,1.0274,491008
0.2828833,1.0272,491008
0.2839105,1.0648,491008
0.2849753,1.0577,491008
0.286033,1.0923,491008
0.2871253,1.0569,491008
0.2881823,1.0284,491008
0.2892106,1.2847,491008
0.2904953,1.1747,491008
0.29167,1.0534,491008
0.2927234,1.0297,491008
0.2937531,1.1875,491008
0.2949406,1.049,491008
0.2959896,1.0657,491008
0.2970553,1.2802,491008
0.2983355,1.0683,491008
0.2994038,1.0757,491008
0.3004795,1.04,491008
0.3015195,1.0284,491008
0.3025479,1.1481,491008
0.303696,1.0528,491008
0.3047488,1.0282,491008
0.305777,1.0242,491008
0.3068012,1.0394,491008
0.3078406,1.0463,491008
0.3088869,1.0543,491008
0.3099412,1.1066,491008
0.3110478,1.0678,491008
0.3121156,1.0968,491008
0.3132124,1.2063,491008
0.3144187,1.2792,491008
0.3156979,1.0492,491008
0.3167471,1.0303,491008
0.3177774,1.0595,491008
0.3188369,1.0319,491008
0.3198688,1.1249,491008
0.3209937,7.8425,491008
0.3288362,1.1031,491008
0.3299393,1.0471,491008
0.3309864,1.0326,491008
0.332019,1.0312,491008
0.3330502,1.1885,491008
0.3342387,1.0393,491008
0.335278,1.1818,491008
0.3364598,1.1681,491008
0.3376279,1.0559,491008
