Time (s),Frame Time (ms),Triangle Count
0.0020818,16.8878,3531458
0.0189696,2.0062,3727594
0.0209758,1.1974,3727594
0.0221732,1.1337,3727594
0.0233069,1.2205,3727594
0.0245274,1.1245,3727594
0.0256519,1.0812,3776618
0.0267331,1.1486,3776618
0.0278817,1.2664,3776618
0.0291481,1.2612,3776618
0.0304093,1.2688,3776618
0.0316781,1.5727,3776618
0.0332508,1.4424,3776618
0.0346932,1.298,3776618
0.0359912,1.2473,3776618
0.0372385,1.271,3776618
0.0385095,1.4605,3776618
0.03997,1.1471,3776618
0.04111709,1.1747,3776618
0.04229179,1.1385,3776618
0.04343029,1.0882,3776618
0.04451849,1.1259,3776618
0.04564439,1.0826,3776618
0.04672699,1.1099,3776618
0.04783689,1.0614,3776618
0.04889829,1.1993,3776618
0.05009759,1.1119,3776618
0.05120949,1.1108,3776618
0.05232029,1.1451,3776618
0.05346539,1.1896,3776618
0.05465499,1.1918,3776618
0.05584679,1.5956,3776618
0.05744239,1.3375,3776618
0.05877989,1.56,3776618
0.06033989,1.8112,3776618
0.06215109,2.4653,3776618
0.06461638,1.3664,3776618
0.06598278,1.1358,3776618
0.06711859,1.1742,3776618
0.06829278,1.137,3776618
0.06942979,1.1217,3776618
0.07055148,1.1166,3776618
0.07166809,1.1926,3776618
0.07286069,1.2295,3776618
0.07409019,1.177,3776618
0.07526719,1.1542,3776618
0.07642139,1.3159,3776618
0.07773729,1.5189,3776618
0.07925618,1.2585,3776618
0.08051468,1.2633,3776618
0.08177798,1.2057,3776618
0.08298368,1.1667,3776618
0.08415038,1.1858,3776618
0.08533618,1.111,3776618
0.08644718,1.1721,3776618
0.08761928,1.1615,3776618
0.08878078,1.1536,3776618
0.08993439,1.1334,3776618
0.09106778,1.1387,3776618
0.09220649,1.0965,3776618
0.09330299,1.1871,3776618
0.09449009,9.0233,3776618
0.1035134,1.6647,3776618
0.1051781,1.3703,3776618
0.1065484,1.1448,3776618
0.1076932,1.1337,3776618
0.1088269,1.1617,3776618
0.1099886,1.0876,3776618
0.1110762,1.1334,3776618
0.1122096,1.1838,3776618
0.1133934,1.5142,3776618
0.1149076,1.2743,3776618
0.1161819,1.2509,3776618
0.1174328,1.162,3776618
0.1185948,1.3299,3776618
0.1199247,1.2286,3776618
0.1211533,1.2859,3776618
0.1224392,1.2288,3776618
0.123668,1.2038,3776618
0.1248718,1.1983,3776618
0.1260701,1.3276,3776618
0.1273977,1.5822,3776618
0.1289799,1.2467,3776618
0.1302266,1.1484,3776618
0.131375,1.1247,3776618
0.1324997,1.0881,3776618
0.1335878,1.0752,3776618
0.134663,1.1701,3776618
0.1358331,1.1852,3776618
0.1370183,1.0919,3776618
0.1381102,1.3101,3776618
0.1394203,1.2388,3776618
0.1406591,1.2958,3776618
0.1419549,1.7941,3776618
0.143749,1.3698,3776618
0.1451188,1.4763,3776618
0.1465951,1.4707,3776618
0.1480658,1.7005,3776618
0.1497663,1.6996,3776618
0.1514659,1.5395,3776618
0.1530054,1.1706,3776618
0.154176,1.1845,3776618
0.1553605,1.1601,3776618
0.1565206,1.1826,3776618
0.1577032,1.3287,3776618
0.1590319,1.0846,3776618
0.1601165,1.0791,3776618
0.1611956,1.0865,3776618
0.1622821,1.1463,3776618
0.1634284,1.103,3776618
0.1645314,1.0791,3776618
0.1656105,1.1437,3776618
0.1667542,1.0813,3776618
0.1678355,1.0962,3776618
0.1689317,1.0912,3776618
0.1700229,1.081,3776618
0.1711039,1.0663,3776618
0.1721702,1.8041,3776618
0.1739743,1.0977,3776618
0.175072,1.1681,3776618
0.1762401,1.3824,3776618
0.1776225,1.641,3776618
0.1792635,1.3527,3776618
0.1806162,1.1549,3776618
0.1817711,1.1899,3776618
0.182961,1.2869,3776618
0.1842479,1.2498,3776618
0.1854977,1.5856,3776618
0.1870833,1.2617,3776618
0.188345,1.2892,3776618
0.1896342,1.351,3776618
0.1909852,1.176,3776618
0.1921612,1.2388,3776618
0.1934,1.3248,3776618
0.1947248,1.5094,3776618
0.1962342,1.3279,3776618
0.1975621,1.189,3776618
0.1987511,1.3028,3776618
0.2000539,1.1731,3776618
0.201227,1.2007,3776618
0.2024277,1.1948,3776618
0.2036225,1.3073,3776618
0.2049298,1.4767,3776618
0.2064065,1.4054,3776618
0.2078119,1.4202,3776618
0.2092321,1.2321,3776618
0.2104642,1.3537,3776618
0.2118179,1.2385,3776618
0.2130564,1.539,3776618
0.2145954,1.1511,3776618
0.2157465,1.1682,3776618
0.2169147,1.1382,3776618
0.2180529,1.6682,3776618
0.2197211,1.2353,3776618
0.2209564,1.1495,3776618
0.2221059,1.1409,3776618
0.2232468,1.1975,3776618
0.2244443,1.2164,3776618
0.2256607,1.2675,3776618
0.2269282,1.2073,3776618
0.2281355,4.7631,3776618
0.2328986,6.0546,3776618
0.2389532,1.8716,3776618
0.2408248,1.158,3776618
0.2419828,1.1904,3776618
0.2431732,1.1674,3776618
0.2443406,1.2824,3776618
0.245623,8.5903,3776618
0.2542133,1.4644,3776618
0.2556777,1.1293,3776618
0.256807,1.1391,3776618
0.2579461,1.2513,3776618
0.2591974,1.1189,3776618
0.2603163,1.2338,3776618
0.2615501,1.1327,3776618
0.2626828,1.1181,3776618
0.2638009,1.2914,3776618
0.2650923,1.1913,3776618
0.2662835,1.2548,3776618
0.2675383,1.2802,3776618
0.2688185,1.2855,3776618
0.270104,1.2527,3776618
0.2713567,1.3315,3776618
0.2726882,1.1729,3776618
0.2738611,1.3122,3776618
0.2751733,1.188,3776618
0.2763613,1.2148,3776618
0.2775761,1.3031,3776618
0.2788793,1.3679,3776618
0.2802472,1.1179,3776618
0.281365,1.1677,3776618
0.2825328,1.1233,3776618
0.2836561,1.1015,3776618
0.2847576,1.1904,3776618
0.2859479,1.212,3776618
0.2871599,1.1899,3776618
0.2883498,1.3154,3776618
0.2896652,1.3992,3776618
0.2910644,1.2483,3776618
0.2923127,1.1531,3776618
0.2934658,1.1163,3776618
0.2945821,1.2334,3776618
0.2958155,1.2132,3776618
0.2970287,1.3,3776618
0.2983287,1.3082,3776618
0.2996369,1.1213,3776618
0.3007582,1.1394,3776618
0.3018976,1.2498,3776618
0.3031474,1.205,3776618
0.3043524,1.1427,3776618
0.3054951,1.2182,3776618
0.3067133,1.2472,3776618
0.3079605,1.1284,3776618
0.3090889,1.2428,3776618
0.3103317,1.6534,3776618
0.3119851,1.2599,3776618
0.313245,1.2531,3776618
0.3144981,1.2809,3776618
0.315779,1.2954,3776618
