Time (s),Frame Time (ms),Triangle Count
0.0057912,47.713,2.454573E+07
0.0535042,9.1147,2.356401E+07
0.0626189,1.3159,2.356401E+07
0.0639348,1.2171,2.356401E+07
0.06515189,1.2601,2.356401E+07
0.06641199,2.6427,2.356401E+07
0.06905469,6.0361,2.356401E+07
0.0750908,11.0107,2.356401E+07
0.08610149,5.0696,2.356401E+07
0.09117109,5.4318,2.356401E+07
0.09660289,5.7796,2.356401E+07
0.1023825,1.354,2.356401E+07
0.1037365,4.1648,2.356401E+07
0.1079013,5.5703,2.356401E+07
0.1134716,5.0974,2.356401E+07
0.118569,5.6541,2.356401E+07
0.1242231,5.506,2.356401E+07
0.1297291,5.7387,2.356401E+07
0.1354678,5.434,2.356401E+07
0.1409018,5.164,2.356401E+07
0.1460658,5.5874,2.356401E+07
0.1516532,5.5057,2.356401E+07
0.1571589,5.5046,2.356401E+07
0.1626635,5.6693,2.356401E+07
0.1683328,5.0673,2.356401E+07
0.1734001,5.5381,2.356401E+07
0.1789382,5.6745,2.356401E+07
0.1846127,5.608,2.356401E+07
0.1902207,5.0451,2.356401E+07
0.1952658,5.5513,2.356401E+07
0.2008171,5.697,2.356401E+07
0.2065141,12.8315,2.356401E+07
0.2193456,4.2403,2.356401E+07
0.2235859,5.2121,2.356401E+07
0.228798,1.484,2.356401E+07
0.230282,4.3658,2.356401E+07
0.2346478,5.2502,2.356401E+07
0.239898,5.5949,2.356401E+07
0.2454929,4.998,2.356401E+07
0.2504909,5.5748,2.366219E+07
0.2560657,5.5211,2.366219E+07
0.2615868,5.905,2.366219E+07
0.2674918,5.3424,2.366219E+07
0.2728342,5.0857,2.366219E+07
0.2779199,5.5289,2.366219E+07
0.2834488,5.599,2.366219E+07
0.2890477,5.5991,2.366219E+07
0.2946469,5.6605,2.366219E+07
0.3003074,5.4476,2.366219E+07
0.305755,5.8384,2.366219E+07
0.3115934,5.6481,2.366219E+07
0.3172415,5.183,2.366219E+07
0.3224245,5.0711,2.366219E+07
0.3274956,5.3267,2.366219E+07
0.3328223,5.6636,2.366219E+07
0.3384859,5.5071,2.366219E+07
0.343993,5.8494,2.366219E+07
0.3498424,4.8974,2.366219E+07
0.3547398,5.5303,2.366219E+07
0.3602701,12.3986,2.366219E+07
0.3726687,4.2949,2.366219E+07
0.3769636,5.1494,2.366219E+07
0.382113,1.2198,2.366219E+07
0.3833328,4.4892,2.366219E+07
0.387822,5.6307,2.366219E+07
0.3934527,5.6386,2.366219E+07
0.3990913,5.5854,2.366219E+07
0.4046767,5.0855,2.366219E+07
0.4097622,5.6351,2.366219E+07
0.4153973,5.5472,2.366219E+07
0.4209445,5.7194,2.366219E+07
0.4266639,5.3706,2.366219E+07
0.4320345,5.1497,2.366219E+07
