Time (s),Frame Time (ms),Triangle Count
0.0019454,3.0881,1724
0.0050335,1.5424,1724
0.0065759,1.9833,28062
0.0085592,1.071,28062
0.0096302,1.0476,28062
0.0106778,1.0609,28062
0.0117387,1.0359,28062
0.0127746,1.0653,28062
0.0138399,1.1562,28062
0.0149961,1.0453,28062
0.0160414,1.0752,28062
0.0171166,1.055,28062
0.0181716,1.0464,28062
0.019218,1.0555,28062
0.0202735,1.3033,28062
0.0215768,1.6427,28062
0.0232195,1.0857,28062
0.0243052,1.0876,28062
0.0253928,1.0938,28062
0.0264866,1.0763,28062
0.0275629,1.0812,28062
0.0286441,1.0322,28062
0.0296763,1.1025,28062
0.0307788,1.0657,28062
0.0318445,1.0972,28062
0.0329417,1.043,28062
0.0339847,1.0729,28062
0.0350576,1.0791,28062
0.0361367,1.2303,28062
0.037367,1.0665,28062
0.0384335,1.042,28062
0.0394755,1.0979,28062
0.0405734,1.2172,28062
0.0417906,1.0367,28062
0.0428273,1.0214,28062
0.0438487,1.0264,28062
0.0448751,1.1197,28062
0.0459948,1.1103,28062
0.0471051,1.0477,28062
0.0481528,1.0486,28062
0.0492014,1.0263,28062
0.05022769,1.0551,28062
0.05128279,1.0434,28062
0.05232619,1.0313,28062
0.0533575,1.0349,28062
0.0543924,1.0588,28062
0.0554512,1.1343,28062
0.05658549,1.0831,28062
0.05766859,1.1086,28062
0.05877719,1.159,28062
0.0599362,1.0952,28062
0.06103139,1.328,28062
0.06235939,7.9721,28062
0.07033149,2.544,28062
0.07287549,1.4995,28062
0.07437499,1.297,28062
0.07567199,1.1753,28062
0.07684729,1.6012,1764
0.07844848,1.0082,1764
0.07945668,1.0378,1764
0.08049448,1.2142,1764
0.08170868,0.9946,1764
0.08270328,1.1838,1764
0.08388708,1.0154,1764
0.08490248,1.0356,1764
0.08593808,1.0046,1764
0.08694268,1.0085,1764
0.08795118,1.2596,1764
0.08921079,1.2413,1764
0.09045208,1.4611,1764
0.09191319,2.3139,1764
0.09422708,1.1162,1764
0.09534328,1.0715,1764
0.09641478,1.0278,1764
0.09744258,1.046,1764
0.09848858,1.1311,1764
0.09961969,1.0122,1764
0.1006319,1.298,1764
0.1019299,1.1093,1764
0.1030392,1.0403,1764
0.1040795,1.0527,1764
0.1051322,0.9883,1764
0.1061205,1.016,1764
0.1071365,1.127,1764
0.1082635,1.277,1764
0.1095405,1.2005,1764
0.110741,1.0018,1764
0.1117428,1.0237,1764
0.1127665,1.1373,1764
0.1139038,1.2979,1764
0.1152017,1.1298,1764
0.1163315,1.1987,1764
0.1175302,1.112,1764
0.1186422,1.158,1764
0.1198002,1.1894,1764
0.1209896,1.1938,1764
0.1221834,1.0582,1764
0.1232416,1.2568,1764
0.1244984,1.0838,1764
0.1255822,1.2227,1764
0.1268049,1.0258,1764
0.1278307,1.0771,1764
0.1289078,1.2928,1764
0.1302006,4.3575,1764
0.1345581,4.2723,1764
0.1388304,1.0594,1764
0.1398898,1.0213,1764
0.1409111,1.158,1764
0.1420691,1.0117,1764
0.1430808,1.0088,1764
0.1440896,1.0131,1764
0.1451027,1.009,1764
0.1461117,0.9939,1764
0.1471056,0.9903,1764
0.1480959,0.9958,1764
0.1490917,0.9964,1764
0.1500881,1.0877,1764
0.1511758,1.0173,1764
0.1521931,0.9883,1764
0.1531814,0.9996001,1764
0.154181,1.0053,1764
0.1551863,1.1748,1764
0.1563611,1.0982,1764
0.1574593,1.0579,1764
0.1585172,0.9886,1764
0.1595058,1.0098,1764
0.1605156,1.1359,1764
0.1616515,0.9826,1764
0.1626341,1.0001,1764
0.1636342,1.0531,1764
0.1646873,1.2838,1764
0.1659711,1.2478,1764
0.1672189,1.0151,1764
0.168234,1.0018,1764
0.1692358,1.039,1764
0.1702748,1.0999,1764
0.1713747,1.0648,1764
0.1724395,0.9921,1764
0.1734316,0.9832,1764
0.1744148,1.1565,1764
0.1755713,1.034,1764
0.1766053,1.0037,1764
0.177609,1.0464,1764
0.1786554,1.0943,1764
0.1797497,1.2597,1764
0.1810094,1.368,1764
0.1823774,0.9933,1764
0.1833707,1.0732,1764
0.1844439,1.2149,1764
0.1856588,1.0094,1764
0.1866682,0.9895999,1764
0.1876578,0.9812,1764
0.188639,0.9838001,1764
0.1896228,1.0742,1764
0.190697,1.1876,1764
0.1918846,1.0246,1764
0.1929092,1.0152,1764
0.1939244,0.9955,1764
0.1949199,1.003,1764
0.1959229,1.0628,1764
0.1969857,1.4986,1764
0.1984843,1.0396,1764
0.1995239,1.0546,1764
0.2005785,1.1553,1764
0.2017338,1.0681,1764
0.2028019,1.2126,1764
0.2040145,1.0165,1764
0.2050309,0.9992,1764
0.2060301,1.0701,1764
0.2071002,0.9965,1764
0.2080967,1.0471,1764
0.2091438,1.0067,1764
0.2101505,0.9953,1764
0.2111458,0.9997001,1764
0.2121455,1.1504,1764
0.2132959,9.069,1764
0.2223649,1.8795,1764
0.2242444,0.9818,1764
0.2252262,0.9717,1764
0.2261979,0.9613,1764
0.2271592,0.9231,1764
0.2280823,0.9722,1764
0.2290545,1.2517,1764
0.2303062,1.1937,1764
0.2314999,1.2004,1764
0.2327003,1.2865,1764
0.2339868,4.7267,1764
0.2387135,0.9679,1764
0.2396814,1.1115,1764
0.2407929,1.1422,1764
0.2419351,0.9401,1764
0.2428752,0.953,1764
0.2438282,0.9365,1764
0.2447647,0.9492,1764
0.2457139,0.9325,1764
0.2466464,1.0091,1764
0.2476555,3.3373,13190
0.2509928,2.7603,17108
0.2537531,2.6076,27584
0.2563607,2.2464,44024
0.2586071,3.1477,49820
0.2617548,3.2942,72920
0.265049,2.0036,90440
0.2670527,1.9169,94322
0.2689695,1.2771,100262
0.2702466,1.173,100262
0.2714196,1.1483,100262
0.2725679,1.1379,100262
0.2737058,1.1315,100262
0.2748373,1.1533,100262
0.2759906,1.1837,100262
0.2771743,1.2069,100262
0.2783812,1.3472,100262
0.2797284,1.5801,100262
0.2813085,1.433,100262
0.2827415,1.3907,100264
0.2841322,1.6775,100264
0.2858098,1.361,100264
0.2871708,1.3481,100264
0.2885189,1.276,100264
0.2897949,1.5777,100264
0.2913726,1.1926,100264
0.2925652,1.2441,100264
0.2938093,1.1489,100264
0.2949582,1.1398,100264
0.296098,1.1698,100264
0.2972678,1.1358,100264
0.2984036,1.2697,100264
0.2996733,1.1602,100264
0.3008335,1.4623,100264
0.3022958,1.2462,100264
0.303542,1.1674,100264
0.3047094,1.2201,100264
0.3059295,1.1714,100264
0.3071009,1.155,100264
0.3082559,1.1803,100264
0.3094362,1.1594,100264
0.3105956,1.1446,100264
0.3117402,1.3102,100264
0.3130504,1.1859,100264
0.3142363,1.1629,100264
0.3153991,1.3129,100264
0.3167121,1.2631,100264
0.3179752,1.2258,100264
0.319201,1.1452,100264
0.3203462,1.2972,100264
0.3216434,1.1562,100264
0.3227996,1.5187,100264
0.3243183,1.2955,100264
0.3256138,1.1841,100264
0.3267979,1.2041,100264
0.328002,1.2632,98970
0.3292652,1.1851,98970
0.3304503,1.5039,98970
0.3319542,1.2376,98970
0.3331918,1.163,98970
0.3343548,1.178,98970
0.3355328,1.1719,98970
0.3367047,1.1466,98970
0.3378513,1.2345,98970
0.3390858,1.1875,98970
0.3402733,1.2975,98970
0.3415708,1.1363,98970
0.3427071,1.1533,98970
0.3438604,1.1441,98970
0.3450045,1.1623,98970
0.3461668,1.196,98970
0.3473628,1.1368,98970
0.3484996,1.1282,98970
0.3496278,1.1377,98970
0.3507655,1.2046,98970
0.3519701,1.2656,98970
0.3532357,1.4609,98970
0.3546966,1.2129,98970
0.3559095,1.1563,98970
0.3570658,1.1475,98970
0.3582133,1.1867,98970
0.3594,1.1565,98970
0.3605565,1.3109,98970
0.3618675,1.1794,98970
0.3630469,1.3297,98970
0.3643765,9.504,98970
0.3738805,2.2004,98970
0.3760809,1.1676,98970
0.3772485,1.1568,98970
0.3784053,1.1233,98970
0.3795286,1.2136,98970
0.3807423,1.2872,98970
0.3820294,1.0985,98970
0.383128,1.125,98970
0.384253,1.1183,98970
0.3853713,1.0807,98970
0.386452,1.3328,98970
0.3877847,1.1037,98970
0.3888884,1.0879,98970
0.3899764,1.0772,98970
0.3910536,1.0624,98970
0.392116,1.0538,98970
0.3931698,1.4453,98970
0.3946151,1.1772,98970
0.3957922,1.0722,98970
0.3968644,1.0595,98970
0.3979239,1.1219,98970
0.3990459,1.1764,98970
0.4002222,1.3396,98970
0.4015619,1.4623,98970
0.4030242,1.0834,98970
0.4041076,1.0585,98970
0.4051661,1.0552,98970
0.4062213,1.0666,98970
0.4072879,1.0507,98970
0.4083386,1.0527,98970
0.4093913,1.0597,98970
0.410451,1.0442,98970
0.4114952,1.0667,98970
0.4125619,1.0785,98970
0.4136404,1.27,98970
0.4149104,1.1394,98970
0.4160498,1.0553,98970
0.4171051,1.0854,98970
0.4181905,1.0638,98970
0.4192543,1.0511,98970
0.4203054,1.259,98970
0.4215644,1.1121,98970
0.4226765,1.1713,98970
0.4238478,1.0887,98970
0.4249365,1.092,98970
0.4260285,1.1262,98970
0.4271547,1.1281,98970
0.4282828,1.2829,98970
0.4295657,1.1005,98970
0.4306662,1.0762,98970
0.4317424,1.0537,98970
0.4327961,1.1023,98970
0.4338984,1.0558,98970
0.4349542,1.128,98970
0.4360822,1.0932,98970
0.4371754,1.0482,98970
0.4382236,1.0594,98970
0.439283,1.0927,98970
0.4403757,1.2665,98970
0.4416422,1.0931,98970
0.4427353,1.0504,98970
0.4437857,1.0558,98970
0.4448415,1.0633,98970
0.4459048,1.1176,98970
0.4470224,1.3743,98970
0.4483967,1.0821,98970
0.4494788,1.0722,98970
0.450551,1.0481,98970
0.4515991,1.0462,98970
0.4526453,1.0456,98970
0.4536909,1.044,98970
0.4547349,1.1544,98970
0.4558893,1.1236,98970
0.4570129,1.1086,98970
0.4581215,1.0673,98970
0.4591888,1.0561,98970
0.4602449,1.2109,98970
0.4614558,1.0432,98970
0.462499,1.0527,98970
0.4635517,1.0849,98970
0.4646366,1.0694,98970
0.465706,1.0597,98970
0.4667657,1.0634,98970
0.4678291,1.0722,98970
0.4689013,1.1996,98970
0.4701009,1.0815,98970
0.4711824,1.0939,98970
0.4722763,1.0628,98970
0.4733391,1.0597,98970
0.4743989,1.069,98970
0.4754679,1.0681,98970
0.4765359,1.0742,98970
0.4776101,1.0852,98970
0.4786953,1.2748,98970
0.4799701,1.1023,98970
0.4810724,1.2799,98970
0.4823523,1.0626,98970
0.4834149,1.1688,98968
0.4845837,1.0475,98968
0.4856312,1.0546,98968
0.4866858,1.0512,98968
0.487737,1.053,98968
0.48879,1.0654,98968
0.4898554,1.1393,98968
0.4909947,1.1377,98968
0.4921324,1.125,98968
0.4932574,1.0809,98968
0.4943383,1.1055,98968
0.4954438,1.0862,98968
0.49653,1.0675,98968
0.4975975,1.2015,98968
0.498799,1.0961,98968
0.4998951,1.0594,98968
0.5009545,1.2731,98968
0.5022276,1.0932,98968
0.5033208,1.0585,98968
0.5043793,1.0927,98968
0.505472,1.1077,98968
0.5065797,1.0591,98968
0.5076388,1.0643,98968
