Time (s),Frame Time (ms),Triangle Count
0.0148168,209.7823,2.303938E+07
0.2245991,78.92841,6.248204E+07
0.3035275,2.7305,6.248204E+07
0.306258,3.5863,6.285487E+07
0.3098443,2.1531,6.285487E+07
0.3119974,2.0071,6.285487E+07
0.3140045,10.4903,6.285487E+07
0.3244948,13.8342,6.285487E+07
0.338329,14.554,6.298848E+07
0.352883,14.6475,6.305253E+07
0.3675305,14.3493,6.305253E+07
0.3818798,34.7392,6.301366E+07
0.416619,8.3851,6.301366E+07
0.4250041,14.1239,6.293342E+07
0.439128,13.7139,6.286377E+07
0.4528419,2.1675,6.286377E+07
0.4550094,11.9215,6.275453E+07
0.4669309,14.3796,6.275453E+07
0.4813105,14.3715,6.27785E+07
0.495682,14.3695,6.27785E+07
0.5100515,14.3116,6.286632E+07
0.5243631,14.2565,6.278567E+07
0.5386196,33.4804,6.249886E+07
0.5721,8.241799,6.264152E+07
0.5803418,13.9961,6.295568E+07
0.5943379,13.8578,6.298874E+07
0.6081957,2.2543,6.298874E+07
0.61045,12.464,6.298874E+07
0.622914,14.0464,6.298874E+07
0.6369603,14.4938,6.298874E+07
0.6514542,14.9903,6.285634E+07
0.6664444,14.1072,6.246079E+07
0.6805516,14.2015,6.241991E+07
0.6947532,33.0945,6.241991E+07
0.7278477,8.3476,6.201838E+07
0.7361953,13.8601,6.201838E+07
0.7500554,13.8535,6.188972E+07
0.7639089,1.9013,6.188972E+07
0.7658102,12.6129,6.188972E+07
0.7784231,13.8142,6.188972E+07
0.7922373,14.2887,6.184775E+07
0.806526,14.5507,6.18676E+07
0.8210767,14.1359,6.184734E+07
0.8352126,13.6976,6.19044E+07
0.8489102,32.8837,6.257278E+07
0.8817939,8.469999,6.281401E+07
0.8902639,13.8989,6.280831E+07
0.9041628,13.9105,6.269794E+07
0.9180733,2.1102,6.269794E+07
0.9201835,12.5315,6.276582E+07
0.932715,14.1921,6.276582E+07
0.9469071,14.1837,6.271694E+07
0.9610908,14.8456,6.276177E+07
0.9759364,14.1195,6.250014E+07
0.9900559,14.0971,6.254395E+07
1.004153,42.0606,6.243946E+07
1.046214,3.3305,6.243946E+07
1.049544,11.0268,6.211081E+07
1.060571,13.3874,6.205619E+07
1.073958,12.3002,6.205619E+07
1.086259,2.6409,6.070302E+07
1.088899,13.8539,6.070302E+07
1.102753,14.6057,6.070302E+07
1.117359,14.463,6.06355E+07
1.131822,14.1822,6.057937E+07
1.146004,13.4172,6.057937E+07
1.159421,45.5651,6.039782E+07
1.204987,22.3667,6.00074E+07
1.227353,2.6244,5.995934E+07
