Time (s),Frame Time (ms),Triangle Count
0.0021487,13.7821,207046
0.0159308,1.8391,184466
0.0177699,1.1422,184466
0.0189121,1.1422,184466
0.0200543,1.5255,184466
0.0215798,1.3507,184466
0.0229305,1.0918,184466
0.0240223,1.1023,184466
0.0251246,1.1368,184466
0.0262614,1.1763,184466
0.0274377,1.2466,184466
0.0286843,1.1057,184466
0.02979,1.0944,184466
0.0308844,1.0941,184466
0.0319785,1.0914,184466
0.0330699,1.0895,184466
0.0341594,1.095,184466
0.0352544,1.1275,184466
0.0363819,1.3305,184466
0.0377124,1.1107,184466
0.03882309,1.1398,184466
0.0399629,1.1025,184466
0.04106539,1.5446,184466
0.04260999,1.1178,184466
0.04372779,1.0974,184466
0.04482519,1.1008,184466
0.04592599,1.1265,184466
0.0470525,1.1559,184466
0.0482084,1.1335,184466
0.0493419,1.1053,184466
0.0504472,1.1101,184466
0.0515573,1.1583,184466
0.0527156,1.5392,184466
0.0542548,2.3125,184466
0.0565673,1.2415,184466
0.0578088,1.1434,184466
0.0589522,1.1034,184466
0.0600556,1.1081,184466
0.0611637,1.2967,184466
0.0624604,1.1061,184466
0.0635665,1.0841,184466
0.0646506,1.1023,184466
0.06575289,1.1595,184466
0.06691239,1.2011,184466
0.06811349,1.1695,184466
0.06928299,1.131,184466
0.07041399,1.0973,184466
0.07151129,1.201,184466
0.07271229,1.1245,184466
0.07383679,1.0894,184466
0.07492619,1.1296,184466
0.07605579,1.322,184466
0.07737779,1.2042,184466
0.07858199,1.2028,184466
0.07978479,8.1405,184466
0.08792529,1.4134,184466
0.08933868,1.1258,184466
0.09046448,1.1191,184466
0.09158358,1.1064,184466
0.09268998,1.1067,184466
0.09379668,1.325,184466
0.09512167,1.1004,184466
0.09622207,1.105,184466
0.09732708,1.1097,184466
0.09843677,1.2628,184466
0.09969957,1.1641,184466
0.1008637,1.2594,184466
0.1021231,1.1488,184466
0.1032719,1.1977,184466
0.1044696,1.1299,184466
0.1055995,1.0956,184466
0.1066951,1.1023,184466
0.1077974,1.1181,184466
0.1089155,1.1063,184466
0.1100218,1.1845,184466
0.1112063,1.1754,184466
0.1123817,1.1047,184466
0.1134864,1.3635,184466
0.1148499,1.1376,184466
0.1159875,1.1303,184466
0.1171178,1.3236,184466
0.1184414,1.1661,184466
0.1196075,1.1269,184466
0.1207344,1.2696,184466
0.122004,1.1051,184466
0.1231091,1.1038,184466
0.1242129,1.1218,184466
0.1253347,1.1138,184466
0.1264485,1.1125,184466
0.127561,1.1504,184466
0.1287114,1.1064,184466
0.1298178,1.1537,184466
0.1309715,1.1324,184466
0.1321039,1.1062,184466
0.1332101,1.1062,184466
0.1343163,1.1238,184466
0.1354401,1.1063,184466
0.1365464,1.101,184466
0.1376474,1.1471,184466
0.1387945,1.2501,184466
0.1400446,1.1192,184466
0.1411638,1.2534,184466
0.1424172,1.1103,184466
0.1435275,1.1081,184466
0.1446356,1.1466,184466
0.1457822,1.1557,184466
0.1469379,1.1768,184466
0.1481147,1.1185,184466
0.1492332,1.1003,184466
0.1503335,1.1152,184466
0.1514487,1.1275,184466
0.1525762,1.1744,184466
0.1537506,1.0983,184466
0.1548489,1.0955,184466
0.1559444,1.0985,184466
0.1570429,1.1198,184466
0.1581627,1.1324,184466
0.1592951,1.1232,184466
0.1604183,1.4095,184466
0.1618278,1.1187,184466
0.1629465,1.0898,184466
0.1640363,1.0948,184466
0.1651311,1.0933,184466
0.1662244,1.1388,184466
0.1673632,1.1019,184466
0.1684651,1.0971,184466
0.1695622,1.1139,184466
0.1706761,1.1248,184466
0.1718009,1.1183,184466
0.1729192,1.3059,184466
0.1742251,1.1183,184466
0.1753434,1.1357,184466
0.1764791,1.2344,184468
0.1777135,1.111,184468
0.1788245,1.1035,184468
0.179928,1.1281,184468
0.1810562,1.2812,184468
0.1823374,1.1948,184468
0.1835322,1.1144,184468
0.1846466,1.0959,184468
0.1857425,1.213,184468
0.1869555,1.4212,184468
0.1883767,1.1616,184468
0.1895383,1.1019,184468
0.1906402,1.0963,184468
0.1917365,1.3801,184468
0.1931166,1.1864,184468
0.194303,1.1274,184468
0.1954304,1.1016,184468
0.196532,1.1114,184468
0.1976434,1.1027,184468
0.1987461,1.1095,184468
0.1998556,1.1463,184468
0.2010019,1.2885,184468
0.2022904,1.0979,184468
0.2033883,1.1102,184468
0.2044985,1.1229,184468
0.2056214,1.1038,184468
0.2067252,1.1808,184468
0.207906,1.5352,184468
0.2094412,1.1406,184468
0.2105818,1.1053,184468
0.2116871,1.1072,184468
0.2127943,1.0996,184468
0.2138939,1.1647,184468
0.2150586,1.1143,184468
0.2161729,1.4561,184468
0.217629,1.1178,184468
0.2187468,1.1011,184468
