Time (s),Frame Time (ms),Triangle Count
0.0043872,63.1821,1.440713E+07
0.0675693,4.98,1.438905E+07
0.0725493,2.2846,1.438905E+07
0.0748339,2.1031,1.438905E+07
0.076937,2.1693,1.438905E+07
0.0791063,1.8674,1.438905E+07
0.0809737,1.7913,1.438905E+07
0.082765,2.9903,1.438905E+07
0.0857553,4.7536,1.438905E+07
0.09050889,4.546,1.438905E+07
0.09505489,3.5912,1.442529E+07
0.0986461,4.3172,1.442529E+07
0.1029633,4.212,1.442529E+07
0.1071753,4.0445,1.446153E+07
0.1112198,4.6129,1.446153E+07
0.1158327,3.9432,1.446153E+07
0.1197759,4.5704,1.446153E+07
0.1243463,3.7788,1.446153E+07
0.1281251,4.4022,1.449777E+07
0.1325273,4.4562,1.447965E+07
0.1369835,10.5753,1.451589E+07
0.1475588,1.9611,1.451589E+07
0.1495199,4.0639,1.458837E+07
0.1535838,2.1631,1.458837E+07
0.1557469,2.2982,1.458837E+07
0.1580451,3.682,1.458837E+07
0.1617271,4.4097,1.458837E+07
0.1661368,4.4867,1.458837E+07
0.1706235,3.9529,1.458837E+07
0.1745764,4.2539,1.458837E+07
0.1788303,4.3865,1.458837E+07
0.1832168,4.7443,1.458837E+07
0.1879611,4.318,1.460649E+07
0.1922791,3.987,1.460649E+07
0.1962661,4.1001,1.460649E+07
0.2003662,3.6099,1.460649E+07
0.2039761,4.4793,1.460649E+07
0.2084554,3.8457,1.460649E+07
0.2123011,4.1899,1.460649E+07
0.216491,4.5622,1.457025E+07
0.2210532,3.6149,1.457025E+07
0.2246681,4.757,1.457025E+07
0.2294251,4.103,1.457025E+07
0.2335281,3.8747,1.455213E+07
0.2374028,4.2694,1.455213E+07
0.2416722,4.5215,1.455213E+07
0.2461937,4.7375,1.455213E+07
0.2509312,3.9285,1.457025E+07
0.2548597,3.8718,1.457025E+07
0.2587315,4.3103,1.457025E+07
0.2630419,3.593,1.457025E+07
0.2666349,4.3279,1.457025E+07
0.2709627,3.8149,1.453401E+07
0.2747777,4.1075,1.453401E+07
0.2788852,4.5368,1.453401E+07
0.283422,3.7451,1.453401E+07
0.2871671,11.6672,1.453401E+07
0.2988343,2.1096,1.453401E+07
0.3009439,2.8782,1.453401E+07
0.303822,1.8115,1.453401E+07
0.3056335,2.2061,1.453401E+07
0.3078396,4.373,1.453401E+07
0.3122126,4.8967,1.451589E+07
0.3171093,4.0653,1.447965E+07
0.3211747,4.5996,1.447965E+07
0.3257743,3.7176,1.447965E+07
0.3294919,4.1139,1.447965E+07
0.3336058,4.4793,1.447965E+07
0.3380851,3.5269,1.447965E+07
0.341612,4.8531,1.447965E+07
0.3464651,4.214,1.444341E+07
0.350679,4.3932,1.444341E+07
0.3550722,4.7505,1.444341E+07
0.3598227,3.3748,1.440717E+07
0.3631975,4.2914,1.440717E+07
0.3674889,3.6368,1.437093E+07
0.3711257,4.0275,1.437093E+07
0.3751532,3.96,1.438905E+07
0.3791132,4.2857,1.438905E+07
0.3833989,4.6161,1.435281E+07
0.388015,3.1163,1.435281E+07
0.3911313,4.8552,1.433469E+07
0.3959865,3.7211,1.433469E+07
0.3997076,4.317,1.433469E+07
0.4040246,4.1048,1.433469E+07
0.4081294,4.24,1.433469E+07
0.4123694,4.8727,1.433469E+07
0.4172421,3.5768,1.433469E+07
0.4208189,3.8129,1.433469E+07
0.4246318,4.4068,1.433469E+07
0.4290386,3.7697,1.433469E+07
0.4328083,4.5522,1.429845E+07
0.4373605,13.2668,1.429845E+07
0.4506273,5.0914,1.429845E+07
